FONTS.md	FONTS	/		658	
佛藏/乾隆藏/大乘五大部外重译经/佛说希有校量功德经.md	佛说希有校量功德经	/佛藏/乾隆藏/大乘五大部外重译经		9153	
佛藏/乾隆藏/大乘五大部外重译经/佛说弥勒下生成佛经.md	佛说弥勒下生成佛经	/佛藏/乾隆藏/大乘五大部外重译经	[后秦]鸠摩罗什	10870	cbeta:T0454|T0455;kanripo:KR6i0033/CBETA|KR6i0033/T|KR6i0033/TKD|KR6i0034/CBETA|KR6i0034/T|KR6i0034/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说弥勒下生经.md	佛说弥勒下生经	/佛藏/乾隆藏/大乘五大部外重译经	[西晋]竺法护	11029	cbeta:T0453;kanripo:KR6i0032/CBETA|KR6i0032/T|KR6i0032/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说弥勒成佛经.md	佛说弥勒成佛经	/佛藏/乾隆藏/大乘五大部外重译经		27342	
佛藏/乾隆藏/大乘五大部外重译经/佛说弥勒来时经.md	佛说弥勒来时经	/佛藏/乾隆藏/大乘五大部外重译经		4640	cbeta:T0457;kanripo:KR6i0036/CBETA|KR6i0036/T|KR6i0036/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说弥勒菩萨上生兜率天经.md	佛说弥勒菩萨上生兜率天经	/佛藏/乾隆藏/大乘五大部外重译经		12789	
佛藏/乾隆藏/大乘五大部外重译经/佛说德护长者经.md	佛说德护长者经	/佛藏/乾隆藏/大乘五大部外重译经	[隋]那连提耶舍	46612	cbeta:T0545;kanripo:KR6i0176/CBETA|KR6i0176/T|KR6i0176/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说慧印三昧经.md	佛说慧印三昧经	/佛藏/乾隆藏/大乘五大部外重译经	[吴]支谦	36685	cbeta:T0632;kanripo:KR6i0269/CBETA|KR6i0269/T|KR6i0269/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说报恩奉盆经.md	佛说报恩奉盆经	/佛藏/乾隆藏/大乘五大部外重译经		2148	cbeta:T0686;kanripo:KR6i0376/CBETA|KR6i0376/T|KR6i0376/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说持句神咒经.md	佛说持句神咒经	/佛藏/乾隆藏/大乘五大部外重译经	[吴]支谦	3531	
